,date,solomon islands flights-AU,solomon islands hotel-AU,solomon islands travel-AU,solomon islands flights-NZ,solomon islands hotel-NZ,solomon islands travel-NZ,solomon islands flights-US,solomon islands hotel-US,solomon islands travel-US,solomon islands flights-JP,solomon islands hotel-JP,solomon islands travel-JP,solomon islands flights-HK,solomon islands hotel-HK,solomon islands travel-HK,solomon islands flights-NC,solomon islands hotel-NC,solomon islands travel-NC,solomon islands flights,solomon islands hotel,solomon islands travel
168,2018-01-01,2,0,3,0,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0.21408865331498092,0.0715598301217996,0.1856954887440264
169,2018-02-01,3,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0.26560115201211226,0.10017636464318747,0.12428352808184068
170,2018-03-01,5,2,3,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0.21478222568344277,0.17727889104685482,0.15430586400092303
171,2018-04-01,3,2,3,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0.1540272591129779,0.09002818032137049,0.2507475066058416
172,2018-05-01,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0.12335038296891611,0.1797138855718321,0.11063205007971103
173,2018-06-01,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1255484641889313,0.09651080149908756,0.11988989349730798
174,2018-07-01,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2124261098614793,0.11980767419459411,0.16226082007831888
175,2018-08-01,3,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0.19676477186910948,0.10369764783823733,0.18979818371859528
176,2018-09-01,3,0,2,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0.1646975198220192,0.10776757171169528,0.09216914177082865
177,2018-10-01,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0.20421947647468744,0.04840403640154451,0.06321970709914294
