date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2021-04-01,2021-4,273,4.0,0.014652014652014652,258.0,22.0,0.08527131782945736,531.0,0.5141242937853108,0.4858757062146893,1.7240602109834207,3.2276079114189833,2.475834061201202,2.4545975117600216,151.556151279393,177.14241818493923,151.556151279393
2021-05-01,2021-5,336,1.0,0.002976190476190476,264.0,16.0,0.06060606060606061,600.0,0.56,0.44,0.3501997303560073,2.2940023172068806,1.322101023781444,1.2054728685703915,74.43046265506024,94.59445449417629,74.43046265506024
2021-06-01,2021-6,369,2.0,0.005420054200542005,277.0,23.0,0.08303249097472924,646.0,0.5712074303405573,0.42879256965944273,0.6377621105670377,3.142865990541557,1.8903140505542972,1.7119320405251521,105.70117099476465,135.24929125568858,105.70117099476465
2021-07-01,2021-7,342,6.0,0.017543859649122806,300.0,22.0,0.07333333333333333,642.0,0.5327102803738317,0.4672897196261682,2.0643352526248853,2.7757428038203256,2.4200390282226056,2.3967686877629415,147.9855805621895,173.1503626512409,147.9855805621895
2021-08-01,2021-8,312,8.0,0.02564102564102564,298.0,28.0,0.09395973154362416,610.0,0.5114754098360655,0.4885245901639344,3.017105369220986,3.5564733911059694,3.2867893801634778,3.2805999110598796,202.5566692810872,235.16512192430824,202.5566692810872
2021-09-01,2021-9,281,10.0,0.03558718861209965,269.0,28.0,0.10408921933085502,550.0,0.5109090909090909,0.4890909090909091,4.187441615644786,3.939885020630405,4.063663318137595,4.066363935537751,251.07271755096576,290.74935115606206,251.07271755096576
2021-10-01,2021-10,277,5.0,0.018050541516245487,315.0,39.0,0.12380952380952381,592.0,0.46790540540540543,0.5320945945945946,2.1239550433144125,4.6863190194369135,3.405137031375663,3.4873750643931083,215.32375075544272,243.63272863946221,215.32375075544272
2021-11-01,2021-11,274,2.0,0.0072992700729927005,307.0,29.0,0.09446254071661238,581.0,0.47160068846815834,0.5283993115318416,0.8588840102161931,3.5755052403371086,2.217194625276651,2.2943447979048694,141.6615415001506,158.63713310317772,141.6615415001506
2021-12-01,2021-12,249,1.0,0.004016064257028112,313.0,33.0,0.10543130990415335,562.0,0.4430604982206406,0.5569395017793595,0.47255867228762427,3.9906845422336947,2.2316216072606596,2.4319419414924646,150.15731052511845,159.66936321738734,150.15731052511845
2022-01-01,2022-1,244,4.0,0.01639344262295082,276.0,30.0,0.10869565217391304,520.0,0.46923076923076923,0.5307692307692308,1.9289690065511225,4.114243286294949,3.0216061464230357,3.0888453550305375,190.7170163999687,216.19163738306526,190.7170163999687
2022-02-01,2022-2,207,1.0,0.004830917874396135,229.0,20.0,0.08733624454148471,436.0,0.47477064220183485,0.5252293577981652,0.5684401420271423,3.30576753134616,1.937103836686651,2.006164848802498,123.86821947786511,138.59703414029045,123.86821947786511
2022-03-01,2022-3,233,2.0,0.008583690987124463,298.0,29.0,0.09731543624161074,531.0,0.4387947269303202,0.5612052730696798,1.0100181064344933,3.6834902979311823,2.346754202182838,2.510384797707588,155.0006697016714,167.90693721155347,155.0006697016714
2022-04-01,2022-4,230,0.0,0.0,293.0,31.0,0.10580204778156997,523.0,0.4397705544933078,0.5602294455066922,0.0,4.004717355806552,2.002358677903276,2.243560583654531,138.525931681981,143.26592554643696,138.525931681981
2022-05-01,2022-5,250,4.0,0.016,266.0,27.0,0.10150375939849623,516.0,0.4844961240310077,0.5155038759689923,1.8826737503938953,3.842022677878441,2.8623482141361682,2.892725716887867,178.60784680910655,204.79695803741407,178.60784680910655
2022-06-01,2022-6,229,4.0,0.017467248908296942,293.0,28.0,0.09556313993174062,522.0,0.4386973180076628,0.5613026819923371,2.0553206882029422,3.617164063309143,2.8362423757560427,2.931987563502016,181.0320219891326,202.92912230000726,181.0320219891326
2022-07-01,2022-7,238,0.0,0.0,288.0,27.0,0.09375,526.0,0.4524714828897338,0.5475285171102662,0.0,3.5485348344293937,1.7742674172146968,1.9429240158092498,119.96349081818063,126.94631910818354,119.96349081818063
2022-08-01,2022-8,205,4.0,0.01951219512195122,299.0,35.0,0.11705685618729098,504.0,0.40674603174603174,0.5932539682539683,2.295943598041336,4.430723539086868,3.363333568564102,3.56241026941557,219.95670863516875,240.6417501215597,219.95670863516875
2022-09-01,2022-9,205,3.0,0.014634146341463415,288.0,39.0,0.13541666666666666,493.0,0.4158215010141988,0.5841784989858012,1.721957698531002,5.125661427509123,3.4238095630200625,3.7103282339178154,229.08972425081967,244.96872181483639,229.08972425081967
2022-10-01,2022-10,231,2.0,0.008658008658008658,304.0,38.0,0.125,535.0,0.43177570093457945,0.5682242990654206,1.0187628519447485,4.731379779239191,2.8750713155919696,3.1283620031550483,193.1569239907324,205.70727791466769,193.1569239907324
2022-11-01,2022-11,214,4.0,0.018691588785046728,324.0,46.0,0.1419753086419753,538.0,0.39776951672862454,0.6022304832713755,2.199385222422775,5.373912835679081,3.786649029050928,4.111182521112447,253.8399868498809,270.9293713724467,253.8399868498809
2022-12-01,2022-12,218,1.0,0.0045871559633027525,298.0,42.0,0.14093959731543623,516.0,0.42248062015503873,0.5775193798449613,0.5397573825670572,5.334710086658954,2.9372337346130055,3.3089354946201293,204.30621557862577,210.15491089547788,204.30621557862577
2023-01-01,2023-1,170,2.0,0.011764705882352941,208.0,35.0,0.16826923076923078,378.0,0.4497354497354497,0.5502645502645502,1.3843189341131583,6.3691650874373735,3.876742010775266,4.127303060810081,254.8353300543838,277.3753965298831,254.8353300543838
2023-02-01,2023-2,183,2.0,0.01092896174863388,267.0,26.0,0.09737827715355805,450.0,0.4066666666666667,0.5933333333333334,1.2859793377007482,3.685868891691954,2.4859241146963513,2.7099138064021973,167.3203467491172,177.86434721231473,167.3203467491172
2023-03-01,2023-3,235,4.0,0.01702127659574468,311.0,31.0,0.09967845659163987,546.0,0.43040293040293043,0.5695970695970696,2.0028444153126546,3.772933071547651,2.887888743430153,3.011081726831123,185.91559533482052,206.62434671089594,185.91559533482052
